07/26/2021;11:22:05: Computer Battery Low 
07/26/2021;11:22:05: Motor Battery Low 
07/26/2021;11:24:35: Computer Battery Low 
07/26/2021;11:24:35: Motor Battery Low 
07/26/2021;11:26:28: Computer Battery Low 
07/26/2021;11:26:28: Motor Battery Low 
07/26/2021;11:27:31: Computer Battery Low 
07/26/2021;11:27:31: Motor Battery Low 
07/26/2021;11:31:06: Computer Battery Low 
07/26/2021;11:31:06: Motor Battery Low 
07/26/2021;11:32:22: Computer Battery Low 
07/26/2021;11:32:22: Motor Battery Low 
07/26/2021;11:32:28: Computer Battery Low 
07/26/2021;11:32:28: Motor Battery Low 
07/26/2021;11:33:02: Computer Battery Low 
07/26/2021;11:33:02: Motor Battery Low 
07/26/2021;11:36:34: Computer Battery Low 
07/26/2021;11:36:34: Motor Battery Low 
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021 11:36:34: Connected and charging
07/26/2021;11:37:27: Computer Battery Low 
07/26/2021;11:37:27: Motor Battery Low 
07/26/2021 11:37:27: Connected and charging
08/11/2021 18:14:13: Starting Up Gaia in mode: OS start 
08/11/2021 18:14:47: Starting Up Gaia in mode: OS start 
08/11/2021 18:19:11: Starting Up Gaia in mode: Diagnostics
08/11/2021 18:27:22: Starting Up Gaia in mode: OS start 
08/11/2021 18:27:44: Starting Up Gaia in mode: OS start 
08/11/2021 18:28:40: Starting Up Gaia in mode: OS start 
08/11/2021 18:29:08: Starting Up Gaia in mode: OS start 
